source_index,J,parity,original_rank,observed_cm,state,v,Lambda,Sigma,Omega,input_weight,calculated_cm,residual_cm,ef
1,0.0,+,1,0.0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,e
2,0.0,+,2,792.6879589,1,1,0.0,0.0,0.0,1.0,792.692786010189,-0.004827110189012274,e
3,1.0,-,1,1.0999934,1,0,0.0,0.0,0.0,1.0,1.099981482507,1.191749300000211e-05,e
4,1.0,-,2,793.7780516,1,1,0.0,0.0,0.0,1.0,793.782864256841,-0.0048126568409543324,e
5,2.0,+,1,3.2998689,1,0,0.0,0.0,0.0,1.0,3.299919318862,-5.0418862000078946e-05,e
6,2.0,+,2,795.9588465,1,1,0.0,0.0,0.0,1.0,795.962995667183,-0.0041491671829589905,e
7,2.0,+,3,1579.0919263,1,2,0.0,0.0,0.0,1.0,1579.095364740753,-0.0034384407529159944,e
8,3.0,-,1,6.6001029,1,0,0.0,0.0,0.0,1.0,6.59976325161,0.0003396483900006686,e
9,3.0,-,2,799.2279753,1,1,0.0,0.0,0.0,1.0,799.233130074931,-0.005154774930929307,e
10,3.0,-,3,1582.3331811,1,2,0.0,0.0,0.0,1.0,1582.336009876803,-0.0028287768029713334,e
11,3.0,-,4,2356.0276841,1,3,0.0,0.0,0.0,1.0,2356.02992409216,-0.0022399921599571826,e
12,4.0,+,1,10.9993343,1,0,0.0,0.0,0.0,1.0,10.999437893895,-0.00010359389500003147,e
13,4.0,+,2,803.5884402,1,1,0.0,0.0,0.0,1.0,803.59319223023,-0.0047520302299517425,e
14,4.0,+,3,1586.6534244,1,2,0.0,0.0,0.0,1.0,1586.656753233167,-0.003328833166960976,e
15,4.0,+,4,2360.3104926,1,3,0.0,0.0,0.0,1.0,2360.311635054675,-0.0011424546751186426,e
16,5.0,-,1,16.4991429,1,0,0.0,0.0,0.0,1.0,16.498842728604,0.00030017139599891607,e
17,5.0,-,2,809.0387112,1,1,0.0,0.0,0.0,1.0,809.043081798609,-0.004370598609057197,e
18,5.0,-,3,1592.0545342,1,2,0.0,0.0,0.0,1.0,1592.057494672547,-0.002960472546874371,e
19,5.0,-,4,2365.6626361,1,3,0.0,0.0,0.0,1.0,2365.66358639508,-0.000950295080201613,e
20,6.0,+,1,23.0981464,1,0,0.0,0.0,0.0,1.0,23.097852107611,0.00029429238900036125,e
21,6.0,+,2,815.57832,1,1,0.0,0.0,0.0,1.0,815.582673360202,-0.004353360202003387,e
22,6.0,+,3,1598.5351639,1,2,0.0,0.0,0.0,1.0,1598.53810902167,-0.0029451216698817007,e
23,6.0,+,4,2372.0847113,1,3,0.0,0.0,0.0,1.0,2372.08565320233,-0.000941902329941513,e
24,6.0,+,5,3136.3425996,1,4,0.0,0.0,0.0,1.0,3136.342034097418,0.0005655025820487936,e
25,7.0,-,1,30.7966019,1,0,0.0,0.0,0.0,1.0,30.796315250253,0.0002866497470002116,e
26,7.0,-,2,823.2074826,1,1,0.0,0.0,0.0,1.0,823.211816408553,-0.004333808552928531,e
27,7.0,-,3,1606.0955222,1,2,0.0,0.0,0.0,1.0,1606.098446070008,-0.0029238700080895796,e
28,7.0,-,4,2379.5767527,1,3,0.0,0.0,0.0,1.0,2379.577685580734,-0.0009328807341262291,e
29,7.0,-,5,3143.7668204,1,4,0.0,0.0,0.0,1.0,3143.766255234996,0.0005651650039908418,e
30,8.0,+,1,39.5943332,1,0,0.0,0.0,0.0,1.0,39.594056241824,0.0002769581760020401,e
31,8.0,+,2,831.9260231,1,1,0.0,0.0,0.0,1.0,831.930335348887,-0.004312248887003989,e
32,8.0,+,3,1614.7354301,1,2,0.0,0.0,0.0,1.0,1614.738330568202,-0.0029004682019149186,e
33,8.0,+,4,2388.1385852,1,3,0.0,0.0,0.0,1.0,2388.139508648286,-0.0009234482863575977,e
34,8.0,+,5,3152.2511462,1,4,0.0,0.0,0.0,1.0,3152.250580851,0.0005653490002259787,e
35,9.0,-,1,49.4911422,1,0,0.0,0.0,0.0,1.0,49.49087403186,0.0002681681399963054,e
36,9.0,-,2,841.7337449,1,1,0.0,0.0,0.0,1.0,841.738029496629,-0.0042845966289633,e
37,9.0,-,3,1624.454688,1,2,0.0,0.0,0.0,1.0,1624.457562226563,-0.0028742265628807218,e
38,9.0,-,4,2397.7704295,1,3,0.0,0.0,0.0,1.0,2397.770922535291,-0.0004930352911287628,e
39,9.0,-,5,3161.7980513,1,4,0.0,0.0,0.0,1.0,3161.794811519646,0.0032397803543062764,e
40,10.0,+,1,60.4868037,1,0,0.0,0.0,0.0,1.0,60.486542432088,0.0002612679120019834,e
41,10.0,+,2,852.6304169,1,1,0.0,0.0,0.0,1.0,852.634673075367,-0.004256175367004289,e
42,10.0,+,3,1635.253072,1,2,0.0,0.0,0.0,1.0,1635.255915713123,-0.002843713122956615,e
43,10.0,+,4,2408.4697709,1,3,0.0,0.0,0.0,1.0,2408.471702382423,-0.001931482422605768,e
44,10.0,+,5,3172.3969891,1,4,0.0,0.0,0.0,1.0,3172.398722881292,-0.001733781291932246,e
45,10.0,+,6,6137.479694,1,8,0.0,0.0,0.0,1.0,6137.485067372172,-0.005373372172471136,e
46,11.0,-,1,72.5810636,1,0,0.0,0.0,0.0,1.0,72.580810114059,0.0002534859409877299,e
47,11.0,-,2,864.6157918,1,1,0.0,0.0,0.0,1.0,864.620015214585,-0.004223414584998864,e
48,11.0,-,3,1647.1303315,1,2,0.0,0.0,0.0,1.0,1647.133140651446,-0.0028091514459447353,e
49,11.0,-,4,2420.2408384,1,3,0.0,0.0,0.0,1.0,2420.241598338686,-0.0007599386858601065,e
50,11.0,-,5,3184.0589839,1,4,0.0,0.0,0.0,1.0,3184.062065640308,-0.0030817403080618533,e
51,11.0,-,6,5420.9274237,1,7,0.0,0.0,0.0,1.0,5420.92937587533,-0.0019521753301887657,e
52,12.0,+,1,85.7734732,1,0,0.0,0.0,0.0,1.0,85.773400606563,7.259343699672627e-05,e
53,12.0,+,2,877.6892945,1,1,0.0,0.0,0.0,1.0,877.693779947184,-0.004485447184038094,e
54,12.0,+,3,1660.0864698,1,2,0.0,0.0,0.0,1.0,1660.088961618234,-0.0024918182339206396,e
55,12.0,+,4,2433.0798513,1,3,0.0,0.0,0.0,1.0,2433.080335558921,-0.0004842589210056758,e
56,12.0,+,5,3196.7851948,1,4,0.0,0.0,0.0,1.0,3196.784565562728,0.0006292372722782602,e
57,12.0,+,6,4696.7856526,1,6,0.0,0.0,0.0,1.0,4696.785887676599,-0.0002350765989831416,e
58,12.0,+,7,6160.993195,1,8,0.0,0.0,0.0,1.0,6160.995956545858,-0.0027615458575382945,e
59,13.0,-,1,100.0642708,1,0,0.0,0.0,0.0,1.0,100.064012292844,0.0002585071560048391,e
60,13.0,-,2,891.8512602,1,1,0.0,0.0,0.0,1.0,891.855666206817,-0.00440600681702108,e
61,13.0,-,3,1674.120561,1,2,0.0,0.0,0.0,1.0,1674.123078140767,-0.002517140766940429,e
62,13.0,-,4,2446.9875729,1,3,0.0,0.0,0.0,1.0,2446.987614201489,-4.130148909098352e-05,e
63,13.0,-,5,3210.565811,1,4,0.0,0.0,0.0,1.0,3210.565923473876,-0.00011247387601542869,e
64,13.0,-,6,3964.9718701,1,5,0.0,0.0,0.0,1.0,3964.971882479048,-1.2379047802824061e-05,e
65,13.0,-,7,4710.3179569,1,6,0.0,0.0,0.0,1.0,4710.318139501313,-0.00018260131309943972,e
66,13.0,-,8,5446.717117,1,7,0.0,0.0,0.0,1.0,5446.717299928159,-0.00018292815911991056,e
67,14.0,+,1,115.4525736,1,0,0.0,0.0,0.0,1.0,115.452318407602,0.00025519239800075866,e
68,14.0,+,2,907.1012758,1,1,0.0,0.0,0.0,1.0,907.105347824954,-0.00407202495398451,e
69,14.0,+,3,1689.2324615,1,2,0.0,0.0,0.0,1.0,1689.235164693947,-0.0027031939468997734,e
70,14.0,+,4,2461.962767,1,3,0.0,0.0,0.0,1.0,2461.963109425356,-0.000342425355938758,e
71,14.0,+,5,3225.4067859,1,4,0.0,0.0,0.0,1.0,3225.405815255678,0.0009706443220238725,e
72,14.0,+,6,3979.6769907,1,5,0.0,0.0,0.0,1.0,3979.677152255699,-0.00016155569937836844,e
73,14.0,+,7,4724.8905283,1,6,0.0,0.0,0.0,1.0,4724.889770793962,0.0007575060380986542,e
74,14.0,+,8,5461.1550254,1,7,0.0,0.0,0.0,1.0,5461.156285760296,-0.00126036029541865,e
75,15.0,-,1,131.9379149,1,0,0.0,0.0,0.0,1.0,131.937967033483,-5.21334829954867e-05,e
76,15.0,-,2,923.4386243,1,1,0.0,0.0,0.0,1.0,923.442473527542,-0.0038492275419912403,e
77,15.0,-,3,1705.4227595,1,2,0.0,0.0,0.0,1.0,1705.424870697218,-0.0021111972180278826,e
78,15.0,-,4,2478.0080176,1,3,0.0,0.0,0.0,1.0,2478.006471386948,0.0015462130522791995,e
79,15.0,-,5,3241.3045429,1,4,0.0,0.0,0.0,1.0,3241.303891843607,0.0006510563930532953,e
80,15.0,-,6,3995.4317485,1,5,0.0,0.0,0.0,1.0,3995.43099523513,0.0007532648701271683,e
81,15.0,-,7,4740.499113,1,6,0.0,0.0,0.0,1.0,4740.500434182783,-0.001321182782703545,e
82,15.0,-,8,5476.6235257,1,7,0.0,0.0,0.0,1.0,5476.6248337834,-0.0013080834005450015,e
83,15.0,-,9,6203.9156294,1,8,0.0,0.0,0.0,1.0,6203.917658270217,-0.0020288702162361005,e
84,16.0,+,1,149.520503,1,0,0.0,0.0,0.0,1.0,149.520581097471,-7.809747100395725e-05,e
85,16.0,+,2,940.8628167,1,1,0.0,0.0,0.0,1.0,940.866666931649,-0.0038502316489257282,e
86,16.0,+,3,1722.6893955,1,2,0.0,0.0,0.0,1.0,1722.69182051125,-0.0024250112498975795,e
87,16.0,+,4,2495.1173125,1,3,0.0,0.0,0.0,1.0,2495.117325237196,-1.273719590244582e-05,e
88,16.0,+,5,3258.2619272,1,4,0.0,0.0,0.0,1.0,3258.259779223545,0.00214797645503495,e
89,16.0,+,6,4012.2331996,1,5,0.0,0.0,0.0,1.0,4012.233038284981,0.00016131501888594357,e
90,16.0,+,7,4757.1497897,1,6,0.0,0.0,0.0,1.0,4757.14975746818,3.2231820114247967e-05,e
91,16.0,+,8,5493.1224402,1,7,0.0,0.0,0.0,1.0,5493.122572787123,-0.0001325871235167142,e
92,17.0,-,1,168.200068,1,0,0.0,0.0,0.0,1.0,168.199758367202,0.0003096327979790203,e
93,17.0,-,2,959.3731833,1,1,0.0,0.0,0.0,1.0,959.377526541643,-0.0043432416429141085,e
94,17.0,-,3,1741.0329765,1,2,0.0,0.0,0.0,1.0,1741.035613434265,-0.0026369342651832994,e
95,17.0,-,4,2513.294796,1,3,0.0,0.0,0.0,1.0,2513.295271117704,-0.00047511770389974117,e
96,17.0,-,5,3276.2734748,1,4,0.0,0.0,0.0,1.0,3276.273078428486,0.0003963715139434498,e
97,17.0,-,6,4030.0830228,1,5,0.0,0.0,0.0,1.0,4030.082883379407,0.00013942059285909636,e
98,17.0,-,7,4774.8360906,1,6,0.0,0.0,0.0,1.0,4774.837343619904,-0.0012530199037428247,e
99,17.0,-,10,6955.8818255,1,9,0.0,0.0,0.0,1.0,6955.899990659436,-0.018165159436648537,e
100,18.0,+,1,187.9752926,1,0,0.0,0.0,0.0,1.0,187.975071446642,0.00022115335798389424,e
101,18.0,+,2,978.9710668,1,1,0.0,0.0,0.0,1.0,978.974625745355,-0.003558945354939169,e
102,18.0,+,3,1760.4533952,1,2,0.0,0.0,0.0,1.0,1760.455823698189,-0.0024284981891469215,e
103,18.0,+,4,2532.5391656,1,3,0.0,0.0,0.0,1.0,2532.53988415725,-0.0007185572499111004,e
104,18.0,+,5,3295.343989,1,4,0.0,0.0,0.0,1.0,3295.343365534728,0.0006234652719285805,e
105,18.0,+,6,4048.9805902,1,5,0.0,0.0,0.0,1.0,4048.980107595443,0.0004826045569643611,e
106,18.0,+,7,5529.1966455,1,7,0.0,0.0,0.0,1.0,5529.204015071274,-0.007369571273557085,e
107,18.0,+,8,6256.0126651,1,8,0.0,0.0,0.0,1.0,6256.017362118339,-0.004697018339356873,e
108,19.0,-,1,208.8466153,1,0,0.0,0.0,0.0,1.0,208.846067771889,0.0005475281109852403,e
109,19.0,-,2,999.6536711,1,1,0.0,0.0,0.0,1.0,999.657512809806,-0.00384170980601084,e
110,19.0,-,3,1780.9503825,1,2,0.0,0.0,0.0,1.0,1780.952000464669,-0.0016179646690943628,e
111,19.0,-,4,2552.8503663,1,3,0.0,0.0,0.0,1.0,2552.85071446769,-0.00034816768993550795,e
112,19.0,-,5,3315.4705711,1,4,0.0,0.0,0.0,1.0,3315.470191658178,0.00037944182213323074,e
113,19.0,-,6,4068.9249519,1,5,0.0,0.0,0.0,1.0,4068.924263109135,0.0006887908648423036,e
114,19.0,-,7,4813.3259189,1,6,0.0,0.0,0.0,1.0,4813.32559222661,0.0003266733901909902,e
115,19.0,-,8,5548.7849651,1,7,0.0,0.0,0.0,1.0,5548.786852097141,-0.0018869971409003483,e
116,20.0,+,1,230.8116135,1,0,0.0,0.0,0.0,1.0,230.812269606208,-0.0006561062079981639,e
117,20.0,+,2,1021.4225216,1,1,0.0,0.0,0.0,1.0,1021.425710876509,-0.003189276509033334,e
118,20.0,+,3,1802.521403,1,2,0.0,0.0,0.0,1.0,1802.523667820642,-0.002264820642039922,e
119,20.0,+,4,2574.2275772,1,3,0.0,0.0,0.0,1.0,2574.227287139835,0.0002900601648434531,e
