J,parity,original_rank,observed_cm,state,v,Lambda,Sigma,Omega,input_weight,calculated_cm,residual_cm,matched_rank,calculated_state,calculated_v,calculated_Lambda,calculated_Sigma,calculated_Omega,assignment_matches,mark,duo_weight
6.0,+,166,26838.36566,6,4,1.0,-1.0,0.0,0.64,26838.999914353415,-0.6342543534155993,166,6,4,1.0,0.0,1.0,False,,3.4e-06
6.0,+,167,26865.75341,6,4,1.0,0.0,1.0,0.49,26864.90556170997,0.847848290031834,168,6,4,1.0,-1.0,0.0,False,,2.6e-06
15.0,+,131,27113.84788,6,4,1.0,0.0,1.0,0.04,27113.68420651364,0.16367348636049428,132,6,4,1.0,1.0,2.0,False,,2.2e-07
15.0,+,134,27221.3473,6,4,1.0,1.0,2.0,0.49,27221.28245838407,0.06484161593107274,134,6,4,1.0,0.0,1.0,False,,2.6e-06
16.0,+,244,34373.78064,6,9,1.0,1.0,2.0,0.0015,34375.56233996267,-1.7816999626738834,243,6,9,1.0,0.0,1.0,False,,8.1e-09
16.0,+,250,34476.47633,6,9,1.0,0.0,1.0,0.0033,34476.77537556064,-0.2990455606413889,246,6,9,1.0,1.0,2.0,False,,1.8e-08
17.0,+,196,34475.66188,6,9,1.0,1.0,2.0,0.0059,34475.46458384353,0.19729615646792809,194,6,9,1.0,-1.0,0.0,False,,3.2e-08
17.0,+,199,34528.31376,6,9,1.0,-1.0,0.0,0.0059,34528.02135813482,0.29240186517563416,196,6,9,1.0,1.0,2.0,False,,3.2e-08
18.0,-,16,7539.41504,2,4,-1.0,-1.0,-2.0,1.21,7539.316330039253,0.0987099607464188,16,2,4,-1.0,0.0,-1.0,False,,6.5e-06
19.0,+,197,34584.33802,6,9,1.0,1.0,2.0,0.0059,34584.46031109287,-0.12229109287000028,194,6,9,1.0,-1.0,0.0,False,,3.2e-08
19.0,+,199,34643.20637,6,9,1.0,-1.0,0.0,0.0059,34642.89592255996,0.3104474400388426,196,6,9,1.0,1.0,2.0,False,,3.2e-08
19.0,-,44,12084.24368,2,7,-1.0,0.0,-1.0,0.16,12084.089976513571,0.15370348642863974,44,2,7,-1.0,1.0,0.0,False,,8.6e-07
