J,parity,original_rank,observed_cm,state,v,Lambda,Sigma,Omega,input_weight,calculated_cm,residual_cm,matched_rank,calculated_state,calculated_v,calculated_Lambda,calculated_Sigma,calculated_Omega,assignment_matches,mark,duo_weight
0.0,+,1,0.0,1,0,0.0,0.0,0.0,13924.0,0.0,0.0,1,1,0,0.0,0.0,0.0,True,,0.075
0.0,+,3,1827.48618,1,1,0.0,0.0,0.0,0.64,1827.4805,0.005680000000211294,3,1,1,0.0,0.0,0.0,True,,3.4e-06
0.0,+,5,3626.68149,1,2,0.0,0.0,0.0,0.81,3626.6601,0.021389999999883003,5,1,2,0.0,0.0,0.0,True,,4.4e-06
0.0,+,7,5396.68647,1,3,0.0,0.0,0.0,0.36,5396.6019,0.08456999999998516,7,1,3,0.0,0.0,0.0,True,,1.9e-06
0.0,+,9,6250.14953,4,0,0.0,0.0,0.0,25.0,6250.2991,-0.14957000000049447,9,4,0,0.0,0.0,0.0,True,,0.00013
0.0,+,11,7136.34991,1,4,0.0,0.0,0.0,0.16,7136.1903,0.15960999999970227,11,1,4,0.0,0.0,0.0,True,,8.6e-07
0.0,+,12,7698.25288,4,1,0.0,0.0,0.0,0.16,7698.4015,-0.14861999999993714,12,4,1,0.0,0.0,0.0,True,,8.6e-07
0.0,+,14,8844.12432,1,5,0.0,0.0,0.0,0.49,8843.9291,0.19522000000142725,14,1,5,0.0,0.0,0.0,True,,2.6e-06
0.0,+,15,9124.17747,4,2,0.0,0.0,0.0,0.09,9124.3805,-0.20302999999876192,15,4,2,0.0,0.0,0.0,True,,4.8e-07
0.0,+,17,10517.95,1,6,0.0,0.0,0.0,0.04,10517.7229,0.22710000000006403,17,1,6,0.0,0.0,0.0,True,,2.2e-07
0.0,+,18,10528.07629,4,3,0.0,0.0,0.0,0.09,10528.2984,-0.22210999999879277,18,4,3,0.0,0.0,0.0,True,,4.8e-07
0.0,+,21,12154.96104,1,7,0.0,0.0,0.0,0.09,12154.9918,-0.030759999999645515,21,1,7,0.0,0.0,0.0,True,,4.8e-07
0.0,+,24,13751.39251,1,8,0.0,0.0,0.0,0.04,13751.3722,0.020309999999881256,24,1,8,0.0,0.0,0.0,True,,2.2e-07
0.0,+,27,15196.50888,8,0,0.0,0.0,0.0,4.0,15196.5304,-0.021520000000236905,27,8,0,0.0,0.0,0.0,True,,2.2e-05
0.0,+,28,15302.89279,1,9,0.0,0.0,0.0,0.0015,15301.0947,1.7980900000002293,28,1,9,0.0,0.0,0.0,True,,8.1e-09
0.0,+,31,16616.99662,8,1,0.0,0.0,0.0,0.04,16617.0011,-0.004479999999603024,31,8,1,0.0,0.0,0.0,True,,2.2e-07
0.0,+,39,19457.58008,8,3,0.0,0.0,0.0,0.01,19457.5298,0.05027999999947497,39,8,3,0.0,0.0,0.0,True,,5.4e-08
0.0,+,43,20009.01051,6,0,1.0,-1.0,0.0,9.0,20009.0225,-0.011989999999059364,43,6,0,1.0,-1.0,0.0,True,,4.8e-05
0.0,+,48,21762.51003,6,1,1.0,-1.0,0.0,0.25,21762.5511,-0.04106999999930849,48,6,1,1.0,-1.0,0.0,True,,1.3e-06
0.0,+,55,23478.64612,6,2,1.0,-1.0,0.0,0.09,23478.6613,-0.01517999999850872,55,6,2,1.0,-1.0,0.0,True,,4.8e-07
0.0,+,62,25154.25703,6,3,1.0,-1.0,0.0,0.49,25154.209,0.048030000001745066,62,6,3,1.0,-1.0,0.0,True,,2.6e-06
0.0,+,68,26785.16292,6,4,1.0,-1.0,0.0,0.01,26784.6076,0.5553199999994831,68,6,4,1.0,-1.0,0.0,True,,5.4e-08
0.0,+,74,28365.14897,6,5,1.0,-1.0,0.0,0.36,28365.1422,0.006769999999960419,74,6,5,1.0,-1.0,0.0,True,,1.9e-06
0.0,+,81,29889.37192,6,6,1.0,-1.0,0.0,0.09,29888.3518,1.020120000001043,81,6,6,1.0,-1.0,0.0,True,,4.8e-07
0.0,+,88,31346.66832,6,7,1.0,-1.0,0.0,0.16,31346.6081,0.060219999999389984,88,6,7,1.0,-1.0,0.0,True,,8.6e-07
0.0,+,94,32731.03437,6,8,1.0,-1.0,0.0,0.01,32730.8332,0.20117000000027474,94,6,8,1.0,-1.0,0.0,True,,5.4e-08
