J,parity,state,v,observed_cm,input_weight,previous_cm,final_cm,delta_cm,rank_changed
0.0,+,1,0,0.0,13924.0,0.0,0.0,0.0,False
0.0,+,1,1,1827.48618,0.64,1827.481219225742,1827.481219387662,1.619198428670643e-07,False
0.0,+,1,2,3626.68149,0.81,3626.661886808147,3626.661887500694,6.925470188434701e-07,False
0.0,+,1,3,5396.68647,0.36,5396.606945469601,5396.606946946463,1.4768620530958287e-06,False
0.0,+,4,0,6250.14953,25.0,6250.345481586765,6250.345481455628,-1.311373125645332e-07,False
0.0,+,1,4,7136.34991,0.16,7136.199747194634,7136.19974871064,1.5160057955654338e-06,False
0.0,+,4,1,7698.25288,0.16,7698.439930623549,7698.439930408907,-2.146425686078146e-07,False
0.0,+,1,5,8844.12432,0.49,8843.945063879895,8843.945064727453,8.475581125821918e-07,False
0.0,+,4,2,9124.17747,0.09,9124.411982447333,9124.411982329151,-1.1818156053777784e-07,False
0.0,+,1,6,10517.95,0.04,10517.770568275491,10517.77056839551,1.2001873983535916e-07,False
0.0,+,4,3,10528.07629,0.09,10528.302302785803,10528.302302488903,-2.9690090741496533e-07,False
0.0,+,1,7,12154.96104,0.09,12155.026059787777,12155.026059735226,-5.2550603868439794e-08,False
0.0,+,1,8,13751.39251,0.04,13751.421288854322,13751.421289207443,3.531204129103571e-07,False
0.0,+,8,0,15196.50888,4.0,15196.52836646799,15196.528366282277,-1.857133611338213e-07,False
0.0,+,1,9,15302.89279,0.0015,15301.16050660052,15301.160507161618,5.610982043435797e-07,False
0.0,+,8,1,16616.99662,0.04,16616.991641882996,16616.991641709472,-1.7352431314066052e-07,False
0.0,+,8,3,19457.58008,0.01,19457.504998567652,19457.504998206816,-3.6083656596019864e-07,False
0.0,+,6,0,20009.01051,9.0,20008.97930902507,20008.97931708111,8.05603849585168e-06,False
0.0,+,6,1,21762.51003,0.25,21762.51176839414,21762.511771120215,2.72607576334849e-06,False
0.0,+,6,2,23478.64612,0.09,23478.61026461511,23478.610266195534,1.5804253052920103e-06,False
0.0,+,6,3,25154.25703,0.49,25154.173026597964,25154.172977412236,-4.9185728130396456e-05,False
0.0,+,6,4,26785.16292,0.01,26784.710881201692,26784.71088448328,3.2815878512337804e-06,False
0.0,+,6,5,28365.14897,0.36,28365.117927018353,28365.117956840328,2.9821974749211222e-05,False
0.0,+,6,6,29889.37192,0.09,29888.378560267127,29888.378710435354,0.00015016822726465762,False
0.0,+,6,7,31346.66832,0.16,31346.59259586861,31346.592637305173,4.143656406085938e-05,False
0.0,+,6,8,32731.03437,0.01,32730.827647488542,32730.827707793713,6.03051703365054e-05,False
0.0,+,6,9,34034.57692,0.0004,34033.70358370373,34033.70357797306,-5.7306751841679215e-06,False
0.0,+,6,10,35254.39831,0.0028,35253.84228416326,35253.84220098059,-8.318266918649897e-05,False
0.0,+,6,12,37472.23572,0.0002,37471.42449474312,37471.42440917018,-8.557294495403767e-05,False
