J,parity,original_rank,observed_cm,state,v,Lambda,Sigma,Omega,input_weight,calculated_cm,residual_cm,matched_rank,calculated_state,calculated_v,calculated_Lambda,calculated_Sigma,calculated_Omega,assignment_matches,mark,duo_weight
0.0,+,1,0.0,1,0,0.0,0.0,0.0,13924.0,0.0,0.0,1,1,0,0.0,0.0,0.0,True,,0.075
0.0,+,3,1827.48618,1,1,0.0,0.0,0.0,0.64,1827.481219387662,0.004960612338209103,3,1,1,0.0,0.0,0.0,True,,3.4e-06
0.0,+,5,3626.68149,1,2,0.0,0.0,0.0,0.81,3626.661887500694,0.019602499306074606,5,1,2,0.0,0.0,0.0,True,,4.4e-06
0.0,+,7,5396.68647,1,3,0.0,0.0,0.0,0.36,5396.606946946463,0.07952305353683187,7,1,3,0.0,0.0,0.0,True,,1.9e-06
0.0,+,9,6250.14953,4,0,0.0,0.0,0.0,25.0,6250.345481455628,-0.1959514556283466,9,4,0,0.0,0.0,0.0,True,,0.00013
0.0,+,11,7136.34991,1,4,0.0,0.0,0.0,0.16,7136.19974871064,0.15016128935985762,11,1,4,0.0,0.0,0.0,True,,8.6e-07
0.0,+,12,7698.25288,4,1,0.0,0.0,0.0,0.16,7698.439930408907,-0.18705040890654345,12,4,1,0.0,0.0,0.0,True,,8.6e-07
0.0,+,14,8844.12432,1,5,0.0,0.0,0.0,0.49,8843.945064727453,0.17925527254737972,14,1,5,0.0,0.0,0.0,True,,2.6e-06
0.0,+,15,9124.17747,4,2,0.0,0.0,0.0,0.09,9124.411982329151,-0.23451232915067521,15,4,2,0.0,0.0,0.0,True,,4.8e-07
0.0,+,17,10517.95,1,6,0.0,0.0,0.0,0.04,10517.77056839551,0.17943160449067364,17,1,6,0.0,0.0,0.0,True,,2.2e-07
0.0,+,18,10528.07629,4,3,0.0,0.0,0.0,0.09,10528.302302488903,-0.2260124889016879,18,4,3,0.0,0.0,0.0,True,,4.8e-07
0.0,+,21,12154.96104,1,7,0.0,0.0,0.0,0.09,12155.026059735226,-0.0650197352260875,21,1,7,0.0,0.0,0.0,True,,4.8e-07
0.0,+,24,13751.39251,1,8,0.0,0.0,0.0,0.04,13751.421289207443,-0.02877920744322182,24,1,8,0.0,0.0,0.0,True,,2.2e-07
0.0,+,27,15196.50888,8,0,0.0,0.0,0.0,4.0,15196.528366282277,-0.019486282277284772,27,8,0,0.0,0.0,0.0,True,,2.2e-05
0.0,+,28,15302.89279,1,9,0.0,0.0,0.0,0.0015,15301.160507161618,1.7322828383821616,28,1,9,0.0,0.0,0.0,True,,8.1e-09
0.0,+,31,16616.99662,8,1,0.0,0.0,0.0,0.04,16616.991641709472,0.004978290529834339,31,8,1,0.0,0.0,0.0,True,,2.2e-07
0.0,+,39,19457.58008,8,3,0.0,0.0,0.0,0.01,19457.504998206816,0.07508179318392649,39,8,3,0.0,0.0,0.0,True,,5.4e-08
0.0,+,43,20009.01051,6,0,1.0,-1.0,0.0,9.0,20008.97931708111,0.031192918890155852,43,6,0,1.0,-1.0,0.0,True,,4.8e-05
0.0,+,48,21762.51003,6,1,1.0,-1.0,0.0,0.25,21762.511771120215,-0.0017411202134098858,48,6,1,1.0,-1.0,0.0,True,,1.3e-06
0.0,+,55,23478.64612,6,2,1.0,-1.0,0.0,0.09,23478.610266195534,0.03585380446747877,55,6,2,1.0,-1.0,0.0,True,,4.8e-07
0.0,+,62,25154.25703,6,3,1.0,-1.0,0.0,0.49,25154.172977412236,0.08405258776474511,62,6,3,1.0,-1.0,0.0,True,,2.6e-06
0.0,+,68,26785.16292,6,4,1.0,-1.0,0.0,0.01,26784.71088448328,0.45203551671875175,68,6,4,1.0,-1.0,0.0,True,,5.4e-08
0.0,+,74,28365.14897,6,5,1.0,-1.0,0.0,0.36,28365.117956840328,0.031013159670692403,74,6,5,1.0,-1.0,0.0,True,,1.9e-06
0.0,+,81,29889.37192,6,6,1.0,-1.0,0.0,0.09,29888.378710435354,0.993209564647259,81,6,6,1.0,-1.0,0.0,True,,4.8e-07
0.0,+,88,31346.66832,6,7,1.0,-1.0,0.0,0.16,31346.592637305173,0.07568269482726464,88,6,7,1.0,-1.0,0.0,True,,8.6e-07
0.0,+,94,32731.03437,6,8,1.0,-1.0,0.0,0.01,32730.827707793713,0.20666220628845622,94,6,8,1.0,-1.0,0.0,True,,5.4e-08
0.0,+,99,34034.57692,6,9,1.0,-1.0,0.0,0.0004,34033.70357797306,0.8733420269418275,99,6,9,1.0,-1.0,0.0,True,,2.2e-09
0.0,+,107,35254.39831,6,10,1.0,-1.0,0.0,0.0028,35253.84220098059,0.5561090194096323,106,6,10,1.0,-1.0,0.0,True,,1.5e-08
0.0,+,118,37472.23572,6,12,1.0,-1.0,0.0,0.0002,37471.42440917018,0.811310829820286,117,6,12,1.0,-1.0,0.0,True,,1.1e-09
0.0,-,1,632.72979,2,0,-1.0,1.0,0.0,25.0,632.726215003201,0.00357499679898865,1,2,0,-1.0,1.0,0.0,True,,0.00013
0.0,-,2,2250.7145,2,1,-1.0,1.0,0.0,1.0,2250.679636993282,0.03486300671784193,2,2,1,-1.0,1.0,0.0,True,,5.4e-06
0.0,-,3,3845.34962,2,2,-1.0,1.0,0.0,0.25,3845.380043537815,-0.03042353781484053,3,2,2,-1.0,1.0,0.0,True,,1.3e-06
0.0,-,4,5416.66979,2,3,-1.0,1.0,0.0,0.01,5416.653667874259,0.01612212574127625,4,2,3,-1.0,1.0,0.0,True,,5.4e-08
0.0,-,5,6964.70287,2,4,-1.0,1.0,0.0,0.01,6964.605365007343,0.09750499265737744,5,2,4,-1.0,1.0,0.0,True,,5.4e-08
0.0,-,6,8488.62283,2,5,-1.0,1.0,0.0,0.01,8489.256791332262,-0.633961332261606,6,2,5,-1.0,1.0,0.0,True,,5.4e-08
0.0,-,7,9280.83461,5,0,0.0,0.0,0.0,36.0,9280.844708230154,-0.010098230153744225,7,5,0,0.0,0.0,0.0,True,,0.00019
0.0,-,9,11312.66782,5,1,0.0,0.0,0.0,0.64,11312.591577341358,0.07624265864251356,9,5,1,0.0,0.0,0.0,True,,3.4e-06
0.0,-,10,11468.54981,2,7,-1.0,1.0,0.0,0.04,11468.671442116025,-0.12163211602455704,10,2,7,-1.0,1.0,0.0,True,,2.2e-07
0.0,-,11,12923.12313,2,8,-1.0,1.0,0.0,0.01,12923.091749284462,0.031380715538034565,11,2,8,-1.0,1.0,0.0,True,,5.4e-08
0.0,-,12,13315.61059,5,2,0.0,0.0,0.0,0.09,13315.850564867926,-0.23997486792541167,12,5,2,0.0,0.0,0.0,True,,4.8e-07
0.0,-,13,14354.35296,2,9,-1.0,1.0,0.0,0.0004,14354.355761086745,-0.0028010867445118492,13,2,9,-1.0,1.0,0.0,True,,2.2e-09
0.0,-,14,15288.57986,5,3,0.0,0.0,0.0,0.36,15288.534044088088,0.0458159119116317,14,5,3,0.0,0.0,0.0,True,,1.9e-06
0.0,-,15,15762.29387,2,10,-1.0,1.0,0.0,0.0003,15762.359766686952,-0.06589668695232831,15,2,10,-1.0,1.0,0.0,True,,1.6e-09
0.0,-,16,17147.09864,2,11,-1.0,1.0,0.0,0.0011,17146.86354989109,0.23509010890848003,16,2,11,-1.0,1.0,0.0,True,,5.9e-09
0.0,-,19,19139.89474,5,5,0.0,0.0,0.0,0.09,19139.847023280247,0.047716719753225334,19,5,5,0.0,0.0,0.0,True,,4.8e-07
0.0,-,22,21015.17311,5,6,0.0,0.0,0.0,0.01,21015.06454158484,0.10856841515851556,22,5,6,0.0,0.0,0.0,True,,5.4e-08
0.0,-,26,22854.43567,5,7,0.0,0.0,0.0,0.04,22854.35467340143,0.08099659856816288,26,5,7,0.0,0.0,0.0,True,,2.2e-07
1.0,+,9,6250.45902,4,0,0.0,1.0,1.0,196.0,6250.348026811945,0.11099318805554503,9,4,0,0.0,1.0,1.0,True,,0.0011
1.0,+,12,7698.5526,4,1,0.0,1.0,1.0,2.25,7698.443242052295,0.109357947704666,12,4,1,0.0,1.0,1.0,True,,1.2e-05
1.0,+,16,9124.48029,4,2,0.0,1.0,1.0,1.69,9124.416332026012,0.06395797398727154,16,4,2,0.0,1.0,1.0,True,,9.1e-06
1.0,+,22,10528.32009,4,3,0.0,1.0,1.0,0.25,10528.248776663539,0.07131333646066196,22,4,3,0.0,1.0,1.0,True,,1.3e-06
1.0,+,32,13270.0052,4,5,0.0,1.0,1.0,0.01,13269.867207708825,0.13799229117466894,32,4,5,0.0,1.0,1.0,True,,5.4e-08
1.0,+,38,14608.14077,4,6,0.0,1.0,1.0,0.01,14607.871145086705,0.269624913295047,38,4,6,0.0,1.0,1.0,True,,5.4e-08
1.0,+,60,19998.25343,6,0,1.0,0.0,1.0,81.0,19998.261439038408,-0.008009038407180924,60,6,0,1.0,0.0,1.0,True,,0.00044
1.0,+,61,20014.51376,6,0,1.0,-1.0,0.0,100.0,20014.486421342663,0.027338657338987105,61,6,0,1.0,-1.0,0.0,True,,0.00054
1.0,+,69,21751.86956,6,1,1.0,0.0,1.0,1.21,21751.9083079827,-0.03874798270044266,69,6,1,1.0,0.0,1.0,True,,6.5e-06
1.0,+,70,21767.9799,6,1,1.0,-1.0,0.0,1.0,21767.992735469044,-0.01283546904596733,70,6,1,1.0,-1.0,0.0,True,,5.4e-06
1.0,+,78,23468.13674,6,2,1.0,0.0,1.0,0.64,23468.15528049971,-0.018540499710070435,78,6,2,1.0,0.0,1.0,True,,3.4e-06
1.0,+,79,23484.07313,6,2,1.0,-1.0,0.0,0.64,23484.073028420473,0.00010157952783629298,79,6,2,1.0,-1.0,0.0,True,,3.4e-06
1.0,+,88,25143.74997,6,3,1.0,0.0,1.0,4.41,25143.781939314063,-0.031969314062735066,88,6,3,1.0,0.0,1.0,True,,2.4e-05
1.0,+,89,25159.49283,6,3,1.0,-1.0,0.0,5.76,25159.51410498872,-0.021274988721415866,89,6,3,1.0,-1.0,0.0,True,,3.1e-05
1.0,+,96,26774.53013,6,4,1.0,0.0,1.0,0.49,26774.5355451099,-0.005415109899331583,96,6,4,1.0,0.0,1.0,True,,2.6e-06
1.0,+,97,26790.04113,6,4,1.0,-1.0,0.0,0.25,26790.078321392866,-0.03719139286477002,97,6,4,1.0,-1.0,0.0,True,,1.3e-06
1.0,+,106,28355.03644,6,5,1.0,0.0,1.0,5.76,28355.082755476913,-0.04631547691315063,106,6,5,1.0,0.0,1.0,True,,3.1e-05
1.0,+,107,28370.28187,6,5,1.0,-1.0,0.0,3.24,28370.334988491406,-0.05311849140707636,107,6,5,1.0,-1.0,0.0,True,,1.7e-05
1.0,+,116,29876.88517,6,6,1.0,0.0,1.0,0.09,29878.58011581009,-1.6949458100898482,116,6,6,1.0,0.0,1.0,True,,4.8e-07
1.0,+,117,29894.52877,6,6,1.0,-1.0,0.0,0.04,29893.535529197514,0.9932408024869801,117,6,6,1.0,-1.0,0.0,True,,2.2e-07
1.0,+,123,31336.9736,6,7,1.0,0.0,1.0,1.44,31337.049737956102,-0.07613795610086527,123,6,7,1.0,0.0,1.0,True,,7.7e-06
1.0,+,124,31351.53096,6,7,1.0,-1.0,0.0,1.21,31351.627872944002,-0.09691294400181505,124,6,7,1.0,-1.0,0.0,True,,6.5e-06
1.0,+,131,32721.42173,6,8,1.0,0.0,1.0,0.36,32721.607365082837,-0.18563508283841657,131,6,8,1.0,0.0,1.0,True,,1.9e-06
1.0,+,132,32735.89864,6,8,1.0,-1.0,0.0,0.16,32735.778417693164,0.12022230683578528,132,6,8,1.0,-1.0,0.0,True,,8.6e-07
1.0,+,139,34024.92913,6,9,1.0,0.0,1.0,0.0004,34024.88502169083,0.04410830916458508,139,6,9,1.0,0.0,1.0,True,,2.2e-09
1.0,+,140,34038.7831,6,9,1.0,-1.0,0.0,0.0004,34038.6294761475,0.15362385250045918,140,6,9,1.0,-1.0,0.0,True,,2.2e-09
1.0,+,151,35245.42111,6,10,1.0,0.0,1.0,0.0256,35245.34526134708,0.07584865292301401,149,6,10,1.0,0.0,1.0,True,,1.4e-07
1.0,+,152,35258.65767,6,10,1.0,-1.0,0.0,0.0202,35258.54619624645,0.11147375355358236,150,6,10,1.0,-1.0,0.0,True,,1.1e-07
1.0,+,159,36388.0853,6,11,1.0,0.0,1.0,0.0011,36388.61367756099,-0.5283775609932491,157,6,11,1.0,0.0,1.0,True,,5.9e-09
1.0,+,167,37463.72651,6,12,1.0,0.0,1.0,0.006,37463.693263509274,0.0332464907260146,165,6,12,1.0,0.0,1.0,True,,3.2e-08
1.0,+,168,37476.11283,6,12,1.0,-1.0,0.0,0.0022,37475.92174568433,0.19108431566564832,166,6,12,1.0,-1.0,0.0,True,,1.2e-08
1.0,-,2,619.64211,2,0,-1.0,0.0,-1.0,225.0,619.649977918446,-0.007867918445981559,2,2,0,-1.0,0.0,-1.0,True,,0.0012
1.0,-,3,635.32745,2,0,-1.0,1.0,0.0,289.0,635.324339297925,0.0031107020749914227,3,2,0,-1.0,1.0,0.0,True,,0.0016
1.0,-,5,2237.60649,2,1,-1.0,0.0,-1.0,2.89,2237.604843375112,0.0016466248880533385,5,2,1,-1.0,0.0,-1.0,True,,1.6e-05
1.0,-,6,2253.25934,2,1,-1.0,1.0,0.0,5.29,2253.247433990718,0.011906009282029117,6,2,1,-1.0,1.0,0.0,True,,2.8e-05
1.0,-,8,3832.26124,2,2,-1.0,0.0,-1.0,2.25,3832.302967111063,-0.04172711106321003,8,2,2,-1.0,0.0,-1.0,True,,1.2e-05
1.0,-,9,3847.87568,2,2,-1.0,1.0,0.0,2.25,3847.917941144283,-0.04226114428274741,9,2,2,-1.0,1.0,0.0,True,,1.2e-05
1.0,-,11,5403.59787,2,3,-1.0,0.0,-1.0,1.0,5403.570755217221,0.027114782778880908,11,2,3,-1.0,0.0,-1.0,True,,5.4e-06
