v,rank,inner_probability,quasibound,barrier_r_angstrom,barrier_absolute_cm,J,observed_cm,calculated_cm,residual_cm,input_weight,python_duo_delta_cm
0,1,0.9999999999999997,False,,,0,0.0,0.0,0.0,100.0,0.0
1,2,0.9999999999999999,False,,,0,2885.9764,2885.992883175936,-0.01648317593617321,70.71067811865474,-1.9554136088117957e-10
2,3,1.0000000000000007,False,,,0,5667.982976,5667.96571870236,0.017257297639844182,57.73502691896258,-1.6370904631912708e-11
3,4,0.9999999999999997,False,,,0,8346.7769,8346.748908146481,0.027991853519779397,50.0,1.8189894035458565e-12
4,5,1.0000000000000002,False,,,0,10922.826746,10922.802635313188,0.024110686812491622,44.72135954999579,-3.128661774098873e-10
5,6,0.9999999999999997,False,,,0,13396.271162,13396.240631972112,0.03053002788692538,40.824829046386306,-2.7830537874251604e-10
6,7,0.9999999999999999,False,,,0,15766.8598,15766.807214290111,0.052585709889171994,37.79644730092272,-2.455635694786906e-10
7,8,1.0,False,,,0,18033.849753,18033.81119109469,0.03856190530859749,35.35533905932737,1.6007106751203537e-10
8,9,0.9999999999999993,False,,,0,20196.0564,20196.0251906271,0.031209372900775634,33.333333333333336,-5.4569682106375694e-11
9,10,0.9999999999999997,False,,,0,22251.5848,22251.558139374243,0.026660625757358503,31.622776601683793,-1.0186340659856796e-10
10,11,0.9999999999999996,False,,,0,24197.664165,24197.70386768939,-0.03970268939156085,30.15113445777636,-2.9103830456733704e-11
11,12,0.9999999999999999,False,,,0,26030.6658,26030.7612033923,-0.09540339230079553,28.86751345948129,-3.055902197957039e-10
12,13,0.9999999999999999,False,,,0,27745.703191,27745.810516411744,-0.10732541174365906,27.735009811261456,0.0
13,14,1.0000000000000007,False,,,0,29336.343594,29336.416899223124,-0.07330522312258836,26.726124191242437,-2.1827872842550278e-11
14,15,1.0000000000000002,False,,,0,30794.211699,30794.20631196613,0.0053870338706474286,25.81988897471611,-1.5279510989785194e-10
15,16,1.0,False,,,0,32108.282393,32108.216689316185,0.0657036838165368,25.0,-1.4915713109076023e-10
16,17,0.9999999999999999,False,,,0,33263.9494,33263.83284382022,0.11655617977521615,24.253562503633297,-2.1827872842550278e-10
17,18,1.0000000000000004,False,,,0,34241.0688,34240.89402073207,0.17477926793071674,23.570226039551585,-2.0372681319713593e-10
0,1,1.0000000000000004,False,,,1,20.8783,20.87831496135,-1.4961350000675111e-05,70.71067811865474,-3.6338576592243044e-10
1,2,1.0000000000000004,False,,,1,2906.246681,2906.263376747304,-0.01669574730385648,49.999999999999986,-9.686118573881686e-11
