J,v,quasibound,grid_index,original_rank,expanded_rank,difference_cm
0,0,False,1,1,1,-0.0
0,1,False,1,2,2,8.86757334228605e-11
0,2,False,1,3,3,-5.4569682106375694e-11
0,3,False,1,4,4,1.2732925824820995e-11
0,4,False,1,5,5,1.3096723705530167e-10
0,5,False,1,6,6,5.275069270282984e-11
0,6,False,1,7,7,-4.001776687800884e-11
0,7,False,1,8,8,-4.729372449219227e-11
0,8,False,1,9,9,2.1827872842550278e-11
0,9,False,1,10,10,-1.709850039333105e-10
0,10,False,1,11,11,2.546585164964199e-11
0,11,False,1,12,12,2.1100277081131935e-10
0,12,False,1,13,13,-4.3655745685100555e-11
0,13,False,1,14,14,-5.820766091346741e-11
0,14,False,1,15,15,3.637978807091713e-12
0,15,False,1,16,16,-1.382431946694851e-10
0,16,False,1,17,17,8.003553375601768e-11
0,17,False,1,18,18,-1.4551915228366852e-11
1,0,False,1,1,1,-6.500044946733397e-11
1,1,False,1,2,2,1.1323209037072957e-10
1,2,False,1,3,3,-5.911715561524034e-11
1,3,False,1,4,4,2.3646862246096134e-11
1,4,False,1,5,5,7.275957614183426e-12
1,5,False,1,6,6,9.458744898438454e-11
1,6,False,1,7,7,-9.458744898438454e-11
1,7,False,1,8,8,-3.637978807091713e-12
1,8,False,1,9,9,7.639755494892597e-11
1,9,False,1,10,10,-2.000888343900442e-10
1,10,False,1,11,11,9.458744898438454e-11
1,11,False,1,12,12,2.582964953035116e-10
1,12,False,1,13,13,-6.548361852765083e-11
1,13,False,1,14,14,-1.4551915228366852e-11
1,14,False,1,15,15,-1.0913936421275139e-11
1,15,False,1,16,16,-8.003553375601768e-11
1,16,False,1,17,17,9.458744898438454e-11
1,17,False,1,18,18,-5.093170329928398e-11
2,0,False,1,1,1,-5.299938266034587e-11
2,1,False,1,2,2,1.8189894035458565e-12
2,2,False,1,3,3,-1.8189894035458565e-11
2,3,False,1,4,4,6.912159733474255e-11
2,4,False,1,5,5,2.0736479200422764e-10
2,5,False,1,6,6,5.093170329928398e-11
2,6,False,1,7,7,6.912159733474255e-11
2,7,False,1,8,8,-1.4551915228366852e-11
2,8,False,1,9,9,9.094947017729282e-11
2,9,False,1,10,10,-2.219167072325945e-10
2,10,False,1,11,11,1.4551915228366852e-11
2,11,False,1,12,12,1.8553691916167736e-10
2,12,False,1,13,13,-7.275957614183426e-12
2,13,False,1,14,14,-3.637978807091713e-11
2,14,False,1,15,15,-4.001776687800884e-11
2,15,False,1,16,16,-1.2369127944111824e-10
2,16,False,1,17,17,7.275957614183426e-11
2,17,False,1,18,18,-7.275957614183426e-12
3,0,False,1,1,1,1.2100542789994506e-10
3,1,False,1,2,2,1.368789526168257e-10
3,2,False,1,3,3,-1.4642864698544145e-10
